"name","year","Border","Climate & Environment","Economy","Gun","Immigration","Law & Crime","War & Military"
"William J Clinton",1998,0,0,53.3333333333333,0,0,13.3333333333333,33.3333333333333
"William J Clinton",1999,3.33333333333333,3.33333333333333,16.6666666666667,3.33333333333333,0,0,73.3333333333333
"William J Clinton",2000,0,7.14285714285714,14.2857142857143,0,0,0,78.5714285714286
"William Mc Kinley",1897,0,7.2463768115942,4.34782608695652,5.79710144927536,5.79710144927536,15.9420289855072,60.8695652173913
"William Mc Kinley",1898,11.1111111111111,14.8148148148148,14.8148148148148,0,0,0,59.2592592592593
"William Mc Kinley",1899,0,3.57142857142857,46.4285714285714,0,0,0,50
"William Mc Kinley",1900,0,11.1111111111111,5.55555555555556,0,0,11.1111111111111,72.2222222222222
"Woodrow Wilson",1913,16,8,12,0,32,8,24
"Woodrow Wilson",1914,0,0,5.88235294117647,0,0,0,94.1176470588235
"Woodrow Wilson",1915,0,5.55555555555556,22.2222222222222,0,0,0,72.2222222222222
"Woodrow Wilson",1916,16.6666666666667,0,16.6666666666667,0,0,0,66.6666666666667
"Woodrow Wilson",1917,0,17.3913043478261,26.0869565217391,0,0,0,56.5217391304348
"Woodrow Wilson",1918,0,0,37.5,0,0,0,62.5
"Woodrow Wilson",1919,1.63934426229508,49.1803278688525,19.672131147541,0,3.82513661202186,0,25.6830601092896
"Woodrow Wilson",1920,0,7.14285714285714,32.1428571428571,0,3.57142857142857,0,57.1428571428571
"Zachary Taylor",1849,0,18.3673469387755,30.6122448979592,10.2040816326531,0,22.4489795918367,18.3673469387755
