year,oil,college,gun,border,terrorism,immigration,economy,crime,abortion,housing,healthcare,refugees,war,climate,military,law enforcement,racism,energy,inflation,deficit,debt,farmers,election,business,women,children,retirement,diplomacy,workforce,internet,satellite,transportation,freedom,hope,equality,liberty,diaspora,minorties,religion,faith,police,racism,veterans,weapons,taxes,infrastructure,trade,benefits,nuclear,students
1881,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1882,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1883,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0
1884,0,0,0,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,2,0,11,3,0,0
1885,0,0,0,0,0,3,3,1,0,1,0,0,10,1,8,0,0,0,0,0,3,1,0,6,2,6,0,0,0,0,0,3,2,6,1,2,0,0,0,4,1,0,0,0,0,0,8,3,0,0
1886,0,0,2,0,0,0,6,2,0,0,0,0,8,0,1,0,0,0,0,0,5,2,0,9,1,2,0,0,0,0,0,4,1,6,2,3,0,0,0,0,1,0,0,0,0,0,8,1,0,0
1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0
1888,0,0,2,1,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,7,1,3,0,0,0,0,0,0,2,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
1889,0,0,0,1,0,1,1,2,0,0,0,0,7,0,4,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,1,0,5,0,0,0
1890,0,0,0,0,0,0,3,2,0,0,0,0,1,0,2,0,0,2,0,0,1,1,0,10,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,2,0,0,0,0,0,0,29,3,0,0
1891,0,0,2,2,0,2,1,2,0,0,0,1,8,0,1,0,0,1,0,0,5,2,0,11,2,5,0,0,0,0,0,0,0,6,4,2,0,0,0,1,2,0,0,1,1,0,12,3,0,0
1892,0,0,1,2,0,2,0,5,0,0,0,0,7,0,0,0,0,1,0,1,4,0,0,7,0,1,1,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,3,0,0,0,25,4,0,0
1893,0,1,1,0,0,0,5,1,0,0,0,0,7,0,8,0,0,0,0,0,0,2,0,13,0,2,0,0,0,0,0,0,1,3,1,0,0,0,0,2,0,0,1,0,3,0,4,3,0,0
1894,0,0,1,0,0,0,1,1,0,0,0,0,13,0,9,0,0,0,0,2,0,2,0,9,0,0,2,0,0,0,0,2,0,2,2,1,0,0,0,1,0,0,2,0,1,0,3,1,0,0
1895,0,1,0,0,0,1,0,1,0,0,0,1,4,0,5,0,0,1,0,0,2,0,0,11,1,0,10,0,0,0,0,2,2,3,1,1,0,0,0,6,1,0,0,0,0,0,9,2,0,0
1896,0,0,6,0,0,3,10,0,0,0,0,2,4,0,8,0,0,0,0,8,5,1,0,12,1,4,1,1,0,0,0,5,1,11,0,0,0,0,0,2,1,0,0,1,0,0,2,2,0,0
1897,0,0,0,0,0,1,0,0,0,0,0,0,27,0,8,0,0,0,0,3,12,0,0,5,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0
1898,0,0,1,3,0,0,0,2,0,0,0,0,54,1,22,0,0,1,0,0,7,0,0,7,1,1,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,1,0,12,1,0,0
1899,0,0,0,1,0,0,2,2,0,0,0,0,7,0,5,0,0,1,0,4,1,0,0,9,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0
1900,2,1,0,0,0,0,3,1,0,0,0,0,7,0,17,0,0,1,0,0,1,1,0,8,0,2,0,1,0,0,0,2,5,5,3,8,0,0,5,2,0,0,0,0,4,0,24,3,0,0
1901,0,0,1,0,0,4,3,9,0,0,0,0,29,0,11,0,0,5,0,2,1,1,0,38,3,3,0,0,0,0,0,2,3,8,1,6,0,0,0,1,2,0,2,3,1,0,12,4,0,0
1902,0,0,2,0,0,1,0,0,0,0,0,0,9,1,2,0,0,2,0,0,0,0,0,20,0,0,1,0,0,0,0,0,2,4,2,3,0,0,0,0,1,0,0,0,0,0,3,2,0,0
1903,0,0,0,3,0,3,4,4,0,0,0,0,21,0,4,0,0,1,0,0,0,0,0,11,1,1,0,0,0,0,0,2,2,3,2,3,0,0,0,4,1,0,2,0,1,0,8,2,0,0
1904,0,1,0,0,0,2,2,3,0,2,0,0,11,0,1,0,0,1,0,0,0,2,0,14,3,13,2,0,0,0,0,3,4,4,1,2,0,0,0,1,8,0,1,1,0,0,9,1,0,1
1905,0,0,1,0,0,14,6,5,0,1,0,0,29,1,8,0,0,1,1,2,2,1,0,54,8,12,2,0,0,0,0,7,1,6,1,1,0,0,0,4,3,0,1,1,3,0,12,4,0,4
1906,0,0,0,0,0,1,4,22,0,0,0,0,26,0,4,0,0,2,0,0,0,14,0,31,4,6,0,0,0,0,0,1,2,10,6,7,0,0,0,0,1,0,0,0,3,0,13,5,0,4
1907,3,0,0,0,0,0,2,2,0,0,0,0,29,0,3,0,0,2,2,0,2,8,0,54,5,9,0,0,0,0,0,5,1,5,5,4,0,0,0,0,0,0,0,0,7,0,17,5,0,1
1908,1,0,2,0,0,0,2,3,0,0,0,0,10,1,8,0,0,1,0,1,2,1,0,38,1,5,1,0,0,0,0,0,1,4,0,15,0,0,0,2,0,0,0,0,3,0,2,0,0,1
1909,0,0,0,0,0,1,8,0,0,0,0,0,6,0,10,0,0,2,0,15,3,1,0,12,0,0,1,3,0,0,0,5,2,12,4,1,0,0,0,1,2,0,0,0,0,0,7,2,0,2
1910,0,0,0,0,0,0,3,1,0,0,0,0,7,0,1,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,12,3,0,0
1911,1,0,0,13,0,3,12,0,0,0,0,1,5,0,9,0,0,1,0,2,6,0,0,41,0,0,1,1,0,0,0,5,5,11,7,1,0,0,0,2,0,0,0,0,0,0,34,1,0,0
1912,2,0,0,1,0,0,3,1,0,1,0,0,19,0,7,0,0,1,0,1,4,8,0,25,1,2,1,13,0,0,0,1,1,8,1,0,0,0,0,0,4,0,0,1,1,0,29,4,0,2
1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,6,0,9,0,0,0,1,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2,5,0,3,0,0,0,2,0,0,0,0,0,0,9,0,0,0
1915,3,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,3,0,4,2,1,0,0,0,0,0,0,0,0,0,2,6,4,1,7,0,0,0,0,0,0,0,0,5,0,5,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1917,0,0,1,0,0,0,0,0,0,0,0,0,31,0,3,0,0,2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1918,0,0,0,0,0,0,1,0,0,0,0,0,20,0,2,0,0,2,0,0,1,0,0,13,2,0,1,0,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0
